unique.species,Group,Br_MCR,NB_MCR,common,ccs.max
bkpwar,3_204,3,204,Blackpoll Warbler,11
bkpwar,14_201,14,201,Blackpoll Warbler,11
bkpwar,12_201,12,201,Blackpoll Warbler,11
bkpwar,4_171,4,171,Blackpoll Warbler,11
bkpwar,14_204,14,204,Blackpoll Warbler,11
bkpwar,6_201,6,201,Blackpoll Warbler,11
bkpwar,13_203,13,203,Blackpoll Warbler,11
bkpwar,6_211,6,211,Blackpoll Warbler,11
bkpwar,13_204,13,204,Blackpoll Warbler,11
bkpwar,3_211,3,211,Blackpoll Warbler,11
bkpwar,12_171,12,171,Blackpoll Warbler,11
bkpwar,12_203,12,203,Blackpoll Warbler,11
bkpwar,6_171,6,171,Blackpoll Warbler,11
bkpwar,12_204,12,204,Blackpoll Warbler,11
bkpwar,4_201,4,201,Blackpoll Warbler,11
bkpwar,7_211,7,211,Blackpoll Warbler,11
bkpwar,7_204,7,204,Blackpoll Warbler,11
bkpwar,8_203,8,203,Blackpoll Warbler,11
bkpwar,14_203,14,203,Blackpoll Warbler,11
bkpwar,8_202,8,202,Blackpoll Warbler,11
bkpwar,8_201,8,201,Blackpoll Warbler,11
bkpwar,3_173,3,173,Blackpoll Warbler,11
bkpwar,14_171,14,171,Blackpoll Warbler,11
bkpwar,3_202,3,202,Blackpoll Warbler,11
bkpwar,3_201,3,201,Blackpoll Warbler,11
bkpwar,4_203,4,203,Blackpoll Warbler,11
bkpwar,14_173,14,173,Blackpoll Warbler,11
bkpwar,7_171,7,171,Blackpoll Warbler,11
bkpwar,6_173,6,173,Blackpoll Warbler,11
bkpwar,3_171,3,171,Blackpoll Warbler,11
bkpwar,8_173,8,173,Blackpoll Warbler,11
bkpwar,6_203,6,203,Blackpoll Warbler,11
bkpwar,13_171,13,171,Blackpoll Warbler,11
bkpwar,14_211,14,211,Blackpoll Warbler,11
bkpwar,8_211,8,211,Blackpoll Warbler,11
bkpwar,3_203,3,203,Blackpoll Warbler,11
bkpwar,12_173,12,173,Blackpoll Warbler,11
bkpwar,7_203,7,203,Blackpoll Warbler,11
bkpwar,13_211,13,211,Blackpoll Warbler,11
bkpwar,4_173,4,173,Blackpoll Warbler,11
bkpwar,8_171,8,171,Blackpoll Warbler,11
bkpwar,4_204,4,204,Blackpoll Warbler,11
bkpwar,6_202,6,202,Blackpoll Warbler,11
bkpwar,13_202,13,202,Blackpoll Warbler,11
bkpwar,7_173,7,173,Blackpoll Warbler,11
bkpwar,13_173,13,173,Blackpoll Warbler,11
bkpwar,12_202,12,202,Blackpoll Warbler,11
bkpwar,12_211,12,211,Blackpoll Warbler,11
bkpwar,7_202,7,202,Blackpoll Warbler,11
bkpwar,7_201,7,201,Blackpoll Warbler,11
bkpwar,14_202,14,202,Blackpoll Warbler,11
bkpwar,4_211,4,211,Blackpoll Warbler,11
bkpwar,4_202,4,202,Blackpoll Warbler,11
bkpwar,13_201,13,201,Blackpoll Warbler,11
bkpwar,6_204,6,204,Blackpoll Warbler,11
bkpwar,8_204,8,204,Blackpoll Warbler,11
graspa,11_31,11,31,Grasshopper Sparrow,12
graspa,13_134,13,134,Grasshopper Sparrow,12
graspa,24_31,24,31,Grasshopper Sparrow,12
graspa,28_33,28,33,Grasshopper Sparrow,12
graspa,13_33,13,33,Grasshopper Sparrow,12
graspa,24_134,24,134,Grasshopper Sparrow,12
graspa,22_144,22,144,Grasshopper Sparrow,12
graspa,24_143,24,143,Grasshopper Sparrow,12
graspa,18_143,18,143,Grasshopper Sparrow,12
graspa,18_122,18,122,Grasshopper Sparrow,12
graspa,11_143,11,143,Grasshopper Sparrow,12
graspa,18_144,18,144,Grasshopper Sparrow,12
graspa,18_134,18,134,Grasshopper Sparrow,12
graspa,13_122,13,122,Grasshopper Sparrow,12
graspa,22_20,22,20,Grasshopper Sparrow,12
graspa,22_122,22,122,Grasshopper Sparrow,12
graspa,28_24,28,24,Grasshopper Sparrow,12
graspa,18_24,18,24,Grasshopper Sparrow,12
graspa,22_143,22,143,Grasshopper Sparrow,12
graspa,13_24,13,24,Grasshopper Sparrow,12
graspa,11_33,11,33,Grasshopper Sparrow,12
graspa,18_31,18,31,Grasshopper Sparrow,12
graspa,11_24,11,24,Grasshopper Sparrow,12
graspa,11_134,11,134,Grasshopper Sparrow,12
graspa,11_144,11,144,Grasshopper Sparrow,12
graspa,22_33,22,33,Grasshopper Sparrow,12
graspa,13_144,13,144,Grasshopper Sparrow,12
graspa,13_143,13,143,Grasshopper Sparrow,12
graspa,22_134,22,134,Grasshopper Sparrow,12
graspa,18_20,18,20,Grasshopper Sparrow,12
graspa,28_20,28,20,Grasshopper Sparrow,12
graspa,22_24,22,24,Grasshopper Sparrow,12
graspa,28_134,28,134,Grasshopper Sparrow,12
graspa,24_24,24,24,Grasshopper Sparrow,12
graspa,24_144,24,144,Grasshopper Sparrow,12
graspa,11_122,11,122,Grasshopper Sparrow,12
graspa,28_31,28,31,Grasshopper Sparrow,12
graspa,24_122,24,122,Grasshopper Sparrow,12
graspa,28_144,28,144,Grasshopper Sparrow,12
graspa,11_20,11,20,Grasshopper Sparrow,12
graspa,13_20,13,20,Grasshopper Sparrow,12
graspa,22_31,22,31,Grasshopper Sparrow,12
graspa,18_33,18,33,Grasshopper Sparrow,12
graspa,24_20,24,20,Grasshopper Sparrow,12
graspa,28_122,28,122,Grasshopper Sparrow,12
graspa,13_31,13,31,Grasshopper Sparrow,12
graspa,28_143,28,143,Grasshopper Sparrow,12
graspa,24_33,24,33,Grasshopper Sparrow,12
ovenbi1,11_162,11,162,Ovenbird,9
ovenbi1,13_156,13,156,Ovenbird,9
ovenbi1,6_152,6,152,Ovenbird,9
ovenbi1,6_135,6,135,Ovenbird,9
ovenbi1,13_151,13,151,Ovenbird,9
ovenbi1,24_24,24,24,Ovenbird,9
ovenbi1,6_162,6,162,Ovenbird,9
ovenbi1,11_142,11,142,Ovenbird,9
ovenbi1,13_136,13,136,Ovenbird,9
ovenbi1,6_136,6,136,Ovenbird,9
ovenbi1,6_157,6,157,Ovenbird,9
ovenbi1,28_151,28,151,Ovenbird,9
ovenbi1,13_152,13,152,Ovenbird,9
ovenbi1,28_162,28,162,Ovenbird,9
ovenbi1,7_135,7,135,Ovenbird,9
ovenbi1,14_142,14,142,Ovenbird,9
ovenbi1,7_142,7,142,Ovenbird,9
ovenbi1,24_151,24,151,Ovenbird,9
ovenbi1,24_152,24,152,Ovenbird,9
ovenbi1,8_31,8,31,Ovenbird,9
ovenbi1,11_157,11,157,Ovenbird,9
ovenbi1,28_152,28,152,Ovenbird,9
ovenbi1,11_152,11,152,Ovenbird,9
ovenbi1,14_156,14,156,Ovenbird,9
ovenbi1,11_31,11,31,Ovenbird,9
ovenbi1,14_136,14,136,Ovenbird,9
ovenbi1,28_142,28,142,Ovenbird,9
ovenbi1,13_31,13,31,Ovenbird,9
ovenbi1,24_142,24,142,Ovenbird,9
ovenbi1,6_156,6,156,Ovenbird,9
ovenbi1,24_136,24,136,Ovenbird,9
ovenbi1,8_24,8,24,Ovenbird,9
ovenbi1,7_24,7,24,Ovenbird,9
ovenbi1,24_135,24,135,Ovenbird,9
ovenbi1,8_162,8,162,Ovenbird,9
ovenbi1,28_24,28,24,Ovenbird,9
ovenbi1,14_31,14,31,Ovenbird,9
ovenbi1,14_24,14,24,Ovenbird,9
ovenbi1,11_135,11,135,Ovenbird,9
ovenbi1,6_142,6,142,Ovenbird,9
ovenbi1,14_157,14,157,Ovenbird,9
ovenbi1,6_151,6,151,Ovenbird,9
ovenbi1,14_151,14,151,Ovenbird,9
ovenbi1,6_24,6,24,Ovenbird,9
ovenbi1,13_142,13,142,Ovenbird,9
ovenbi1,28_156,28,156,Ovenbird,9
ovenbi1,8_156,8,156,Ovenbird,9
ovenbi1,28_31,28,31,Ovenbird,9
ovenbi1,11_24,11,24,Ovenbird,9
ovenbi1,14_162,14,162,Ovenbird,9
ovenbi1,7_157,7,157,Ovenbird,9
ovenbi1,24_162,24,162,Ovenbird,9
ovenbi1,7_156,7,156,Ovenbird,9
ovenbi1,8_142,8,142,Ovenbird,9
ovenbi1,28_157,28,157,Ovenbird,9
ovenbi1,14_152,14,152,Ovenbird,9
ovenbi1,11_136,11,136,Ovenbird,9
ovenbi1,6_31,6,31,Ovenbird,9
ovenbi1,7_162,7,162,Ovenbird,9
ovenbi1,14_135,14,135,Ovenbird,9
ovenbi1,13_157,13,157,Ovenbird,9
ovenbi1,13_135,13,135,Ovenbird,9
ovenbi1,13_162,13,162,Ovenbird,9
ovenbi1,24_31,24,31,Ovenbird,9
ovenbi1,7_136,7,136,Ovenbird,9
ovenbi1,8_157,8,157,Ovenbird,9
ovenbi1,7_31,7,31,Ovenbird,9
ovenbi1,28_135,28,135,Ovenbird,9
ovenbi1,13_24,13,24,Ovenbird,9
ovenbi1,8_152,8,152,Ovenbird,9
ovenbi1,24_156,24,156,Ovenbird,9
ovenbi1,28_136,28,136,Ovenbird,9
ovenbi1,7_152,7,152,Ovenbird,9
ovenbi1,11_151,11,151,Ovenbird,9
ovenbi1,8_136,8,136,Ovenbird,9
ovenbi1,8_151,8,151,Ovenbird,9
ovenbi1,8_135,8,135,Ovenbird,9
ovenbi1,11_156,11,156,Ovenbird,9
ovenbi1,24_157,24,157,Ovenbird,9
ovenbi1,7_151,7,151,Ovenbird,9
prowar,28_171,28,171,Prothonotary Warbler,14
prowar,20_201,20,201,Prothonotary Warbler,14
prowar,24_201,24,201,Prothonotary Warbler,14
prowar,22_201,22,201,Prothonotary Warbler,14
prowar,28_157,28,157,Prothonotary Warbler,14
prowar,20_157,20,157,Prothonotary Warbler,14
prowar,20_171,20,171,Prothonotary Warbler,14
prowar,13_171,13,171,Prothonotary Warbler,14
prowar,13_157,13,157,Prothonotary Warbler,14
prowar,24_171,24,171,Prothonotary Warbler,14
prowar,14_201,14,201,Prothonotary Warbler,14
prowar,14_171,14,171,Prothonotary Warbler,14
prowar,20_173,20,173,Prothonotary Warbler,14
prowar,14_157,14,157,Prothonotary Warbler,14
prowar,13_173,13,173,Prothonotary Warbler,14
prowar,28_173,28,173,Prothonotary Warbler,14
prowar,14_173,14,173,Prothonotary Warbler,14
prowar,22_157,22,157,Prothonotary Warbler,14
prowar,24_157,24,157,Prothonotary Warbler,14
prowar,22_173,22,173,Prothonotary Warbler,14
prowar,13_201,13,201,Prothonotary Warbler,14
prowar,28_201,28,201,Prothonotary Warbler,14
prowar,22_171,22,171,Prothonotary Warbler,14
prowar,24_173,24,173,Prothonotary Warbler,14
treswa,28_15,28,15,Tree Swallow,10
treswa,10_152,10,152,Tree Swallow,10
treswa,7_15,7,15,Tree Swallow,10
treswa,24_15,24,15,Tree Swallow,10
treswa,11_24,11,24,Tree Swallow,10
treswa,11_152,11,152,Tree Swallow,10
treswa,22_151,22,151,Tree Swallow,10
treswa,24_20,24,20,Tree Swallow,10
treswa,9_162,9,162,Tree Swallow,10
treswa,16_24,16,24,Tree Swallow,10
treswa,4_31,4,31,Tree Swallow,10
treswa,16_162,16,162,Tree Swallow,10
treswa,7_20,7,20,Tree Swallow,10
treswa,4_151,4,151,Tree Swallow,10
treswa,11_33,11,33,Tree Swallow,10
treswa,13_20,13,20,Tree Swallow,10
treswa,11_162,11,162,Tree Swallow,10
treswa,28_24,28,24,Tree Swallow,10
treswa,8_151,8,151,Tree Swallow,10
treswa,6_31,6,31,Tree Swallow,10
treswa,15_24,15,24,Tree Swallow,10
treswa,4_152,4,152,Tree Swallow,10
treswa,28_31,28,31,Tree Swallow,10
treswa,14_15,14,15,Tree Swallow,10
treswa,9_24,9,24,Tree Swallow,10
treswa,7_162,7,162,Tree Swallow,10
treswa,13_15,13,15,Tree Swallow,10
treswa,6_134,6,134,Tree Swallow,10
treswa,15_152,15,152,Tree Swallow,10
treswa,22_162,22,162,Tree Swallow,10
treswa,11_20,11,20,Tree Swallow,10
treswa,11_151,11,151,Tree Swallow,10
treswa,7_31,7,31,Tree Swallow,10
treswa,14_134,14,134,Tree Swallow,10
treswa,24_151,24,151,Tree Swallow,10
treswa,28_20,28,20,Tree Swallow,10
treswa,13_31,13,31,Tree Swallow,10
treswa,8_152,8,152,Tree Swallow,10
treswa,10_162,10,162,Tree Swallow,10
treswa,8_33,8,33,Tree Swallow,10
treswa,12_134,12,134,Tree Swallow,10
treswa,16_152,16,152,Tree Swallow,10
treswa,8_134,8,134,Tree Swallow,10
treswa,24_33,24,33,Tree Swallow,10
treswa,15_31,15,31,Tree Swallow,10
treswa,15_151,15,151,Tree Swallow,10
treswa,5_152,5,152,Tree Swallow,10
treswa,16_33,16,33,Tree Swallow,10
treswa,24_162,24,162,Tree Swallow,10
treswa,9_134,9,134,Tree Swallow,10
treswa,5_134,5,134,Tree Swallow,10
treswa,9_31,9,31,Tree Swallow,10
treswa,28_134,28,134,Tree Swallow,10
treswa,22_15,22,15,Tree Swallow,10
treswa,28_122,28,122,Tree Swallow,10
treswa,14_31,14,31,Tree Swallow,10
treswa,15_134,15,134,Tree Swallow,10
treswa,8_24,8,24,Tree Swallow,10
treswa,5_162,5,162,Tree Swallow,10
treswa,11_134,11,134,Tree Swallow,10
treswa,4_24,4,24,Tree Swallow,10
treswa,14_20,14,20,Tree Swallow,10
treswa,4_15,4,15,Tree Swallow,10
treswa,10_20,10,20,Tree Swallow,10
treswa,10_134,10,134,Tree Swallow,10
treswa,5_20,5,20,Tree Swallow,10
treswa,16_151,16,151,Tree Swallow,10
treswa,11_31,11,31,Tree Swallow,10
treswa,13_24,13,24,Tree Swallow,10
treswa,28_162,28,162,Tree Swallow,10
treswa,15_33,15,33,Tree Swallow,10
treswa,16_31,16,31,Tree Swallow,10
treswa,13_162,13,162,Tree Swallow,10
treswa,22_20,22,20,Tree Swallow,10
treswa,5_151,5,151,Tree Swallow,10
treswa,22_152,22,152,Tree Swallow,10
treswa,22_31,22,31,Tree Swallow,10
treswa,14_122,14,122,Tree Swallow,10
treswa,10_33,10,33,Tree Swallow,10
treswa,22_24,22,24,Tree Swallow,10
treswa,6_20,6,20,Tree Swallow,10
treswa,15_20,15,20,Tree Swallow,10
treswa,6_122,6,122,Tree Swallow,10
treswa,7_134,7,134,Tree Swallow,10
treswa,15_162,15,162,Tree Swallow,10
treswa,24_122,24,122,Tree Swallow,10
treswa,6_151,6,151,Tree Swallow,10
treswa,9_122,9,122,Tree Swallow,10
treswa,8_15,8,15,Tree Swallow,10
treswa,4_162,4,162,Tree Swallow,10
treswa,28_33,28,33,Tree Swallow,10
treswa,9_33,9,33,Tree Swallow,10
treswa,9_152,9,152,Tree Swallow,10
treswa,13_33,13,33,Tree Swallow,10
treswa,10_122,10,122,Tree Swallow,10
treswa,6_33,6,33,Tree Swallow,10
treswa,5_122,5,122,Tree Swallow,10
treswa,6_24,6,24,Tree Swallow,10
treswa,4_134,4,134,Tree Swallow,10
treswa,12_162,12,162,Tree Swallow,10
treswa,12_122,12,122,Tree Swallow,10
treswa,11_15,11,15,Tree Swallow,10
treswa,10_15,10,15,Tree Swallow,10
treswa,10_24,10,24,Tree Swallow,10
treswa,4_20,4,20,Tree Swallow,10
treswa,5_31,5,31,Tree Swallow,10
treswa,15_15,15,15,Tree Swallow,10
treswa,9_20,9,20,Tree Swallow,10
treswa,4_33,4,33,Tree Swallow,10
treswa,7_33,7,33,Tree Swallow,10
treswa,10_151,10,151,Tree Swallow,10
treswa,22_134,22,134,Tree Swallow,10
treswa,24_31,24,31,Tree Swallow,10
treswa,14_162,14,162,Tree Swallow,10
treswa,14_33,14,33,Tree Swallow,10
treswa,28_152,28,152,Tree Swallow,10
treswa,8_162,8,162,Tree Swallow,10
treswa,8_122,8,122,Tree Swallow,10
treswa,24_152,24,152,Tree Swallow,10
treswa,9_15,9,15,Tree Swallow,10
treswa,12_31,12,31,Tree Swallow,10
treswa,4_122,4,122,Tree Swallow,10
treswa,5_33,5,33,Tree Swallow,10
treswa,22_122,22,122,Tree Swallow,10
treswa,24_134,24,134,Tree Swallow,10
treswa,28_151,28,151,Tree Swallow,10
treswa,8_31,8,31,Tree Swallow,10
treswa,16_134,16,134,Tree Swallow,10
treswa,5_24,5,24,Tree Swallow,10
treswa,14_152,14,152,Tree Swallow,10
treswa,13_134,13,134,Tree Swallow,10
treswa,13_151,13,151,Tree Swallow,10
treswa,6_15,6,15,Tree Swallow,10
treswa,9_151,9,151,Tree Swallow,10
treswa,7_151,7,151,Tree Swallow,10
treswa,6_152,6,152,Tree Swallow,10
treswa,8_20,8,20,Tree Swallow,10
treswa,10_31,10,31,Tree Swallow,10
treswa,16_15,16,15,Tree Swallow,10
treswa,13_122,13,122,Tree Swallow,10
treswa,22_33,22,33,Tree Swallow,10
treswa,12_20,12,20,Tree Swallow,10
treswa,12_33,12,33,Tree Swallow,10
treswa,16_122,16,122,Tree Swallow,10
treswa,12_15,12,15,Tree Swallow,10
treswa,11_122,11,122,Tree Swallow,10
treswa,12_151,12,151,Tree Swallow,10
treswa,5_15,5,15,Tree Swallow,10
treswa,6_162,6,162,Tree Swallow,10
treswa,7_24,7,24,Tree Swallow,10
treswa,14_24,14,24,Tree Swallow,10
treswa,16_20,16,20,Tree Swallow,10
treswa,14_151,14,151,Tree Swallow,10
treswa,24_24,24,24,Tree Swallow,10
treswa,7_152,7,152,Tree Swallow,10
treswa,13_152,13,152,Tree Swallow,10
treswa,15_122,15,122,Tree Swallow,10
treswa,7_122,7,122,Tree Swallow,10
treswa,12_24,12,24,Tree Swallow,10
treswa,12_152,12,152,Tree Swallow,10
